epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,579.285,0,38.2753,0,0.0029,0.2,0.00403,0.00115,3.99058,4.11041,3.45257,0.000229299,0.000229299,0.000229299
83,586.607,0,38.2193,0,0.0029,0.2,0.00403,0.00115,3.99058,4.11041,3.45257,0.000220529,0.000220529,0.000220529
84,592.44,0,38.2256,0,0.00415,0.21852,0.00456,0.00121,4.00942,4.13822,3.47638,0.000211476,0.000211476,0.000211476
85,599.887,0,38.0085,0,0.00415,0.21852,0.00456,0.00121,4.00942,4.13822,3.47638,0.000202141,0.000202141,0.000202141
86,605.544,0,37.9602,0,0.00415,0.21852,0.00456,0.00121,4.00942,4.13822,3.47638,0.000192522,0.000192522,0.000192522
87,611.369,0,38.0357,0,0.00415,0.21852,0.00456,0.00121,4.00942,4.13822,3.47638,0.00018262,0.00018262,0.00018262
88,618.247,0,38.1074,0,0.00513,0.28519,0.00622,0.00187,3.98086,4.15583,3.47741,0.000172436,0.000172436,0.000172436
89,624.315,0,37.8056,0,0.00513,0.28519,0.00622,0.00187,3.98086,4.15583,3.47741,0.000161969,0.000161969,0.000161969
90,632.025,0,37.9336,0,0.00513,0.28519,0.00622,0.00187,3.98086,4.15583,3.47741,0.000151218,0.000151218,0.000151218
91,637.837,0,37.9234,0,0.00513,0.28519,0.00622,0.00187,3.98086,4.15583,3.47741,0.000140185,0.000140185,0.000140185
92,645.669,0,38.017,0,0.00496,0.28519,0.00573,0.00135,3.9168,4.16162,3.42502,0.000128869,0.000128869,0.000128869
93,651.747,0,37.6613,0,0.00496,0.28519,0.00573,0.00135,3.9168,4.16162,3.42502,0.000117269,0.000117269,0.000117269
94,658.895,0,37.7781,0,0.00496,0.28519,0.00573,0.00135,3.9168,4.16162,3.42502,0.000105387,0.000105387,0.000105387
95,665.369,0,37.7432,0,0.00496,0.28519,0.00573,0.00135,3.9168,4.16162,3.42502,9.32222e-05,9.32222e-05,9.32222e-05
96,671.524,0,38.0247,0,0.00395,0.21852,0.00403,0.00125,3.73447,4.17919,3.34233,8.07742e-05,8.07742e-05,8.07742e-05
97,678.697,0,37.6454,0,0.00395,0.21852,0.00403,0.00125,3.73447,4.17919,3.34233,6.80433e-05,6.80433e-05,6.80433e-05
98,684.669,0,37.6465,0,0.00395,0.21852,0.00403,0.00125,3.73447,4.17919,3.34233,5.50294e-05,5.50294e-05,5.50294e-05
99,692.285,0,38.0997,0,0.00395,0.21852,0.00403,0.00125,3.73447,4.17919,3.34233,4.17325e-05,4.17325e-05,4.17325e-05
100,698.453,0,37.643,0,0.00508,0.23704,0.00482,0.00168,3.51844,4.11126,3.25593,2.81527e-05,2.81527e-05,2.81527e-05
